,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
19,2018-12-09,AA,AA_CODESHARE,AA,4893,PT,N627AE,4893,13230,MDT,"Harrisburg, PA",10721,BOS,"Boston, MA",1700,1650.0,-10.0,10.0,1700.0,1801.0,14.0,1830,1815.0,-15.0,0.0,,0.0,N,90.0,85.0,61.0,1.0,335.0,,,,,,,,,
20,2018-12-09,AA,AA_CODESHARE,AA,4894,PT,N639AE,4894,14098,PHF,"Newport News/Williamsburg, VA",14100,PHL,"Philadelphia, PA",611,601.0,-10.0,24.0,625.0,709.0,4.0,724,713.0,-11.0,0.0,,0.0,N,73.0,72.0,44.0,1.0,201.0,,,,,,,,,
21,2018-12-09,AA,AA_CODESHARE,AA,4895,PT,,4895,10990,CHO,"Charlottesville, VA",11057,CLT,"Charlotte, NC",1744,,,,,,,1910,,,1.0,B,0.0,N,86.0,,,1.0,245.0,,,,,,,,,
22,2018-12-09,AA,AA_CODESHARE,AA,4895,PT,,4895,11057,CLT,"Charlotte, NC",10990,CHO,"Charlottesville, VA",1603,,,,,,,1714,,,1.0,B,0.0,N,71.0,,,1.0,245.0,,,,,,,,,
23,2018-12-09,AA,AA_CODESHARE,AA,4897,PT,N672AE,4897,14100,PHL,"Philadelphia, PA",14711,SCE,"State College, PA",1715,1706.0,-9.0,29.0,1735.0,1806.0,5.0,1818,1811.0,-7.0,0.0,,0.0,N,63.0,65.0,31.0,1.0,153.0,,,,,,,,,
24,2018-12-09,AA,AA_CODESHARE,AA,4897,PT,N672AE,4897,14711,SCE,"State College, PA",14100,PHL,"Philadelphia, PA",1854,1854.0,0.0,19.0,1913.0,1950.0,7.0,2000,1957.0,-3.0,0.0,,0.0,N,66.0,63.0,37.0,1.0,153.0,,,,,,,,,
25,2018-12-09,AA,AA_CODESHARE,AA,4898,PT,N647AE,4898,14524,RIC,"Richmond, VA",14100,PHL,"Philadelphia, PA",628,726.0,58.0,58.0,824.0,900.0,8.0,734,908.0,94.0,0.0,,0.0,N,66.0,102.0,36.0,1.0,198.0,58.0,0.0,36.0,0.0,0.0,,,,
26,2018-12-09,AA,AA_CODESHARE,AA,4899,PT,,4899,14574,ROA,"Roanoke, VA",11057,CLT,"Charlotte, NC",920,,,,,,,1040,,,1.0,B,0.0,N,80.0,,,1.0,155.0,,,,,,,,,
27,2018-12-09,AA,AA_CODESHARE,AA,4900,PT,N602AE,4900,10135,ABE,"Allentown/Bethlehem/Easton, PA",14100,PHL,"Philadelphia, PA",1350,1403.0,13.0,25.0,1428.0,1449.0,8.0,1435,1457.0,22.0,0.0,,0.0,N,45.0,54.0,21.0,1.0,55.0,0.0,0.0,9.0,0.0,13.0,,,,
28,2018-12-09,AA,AA_CODESHARE,AA,4900,PT,N602AE,4900,14100,PHL,"Philadelphia, PA",10135,ABE,"Allentown/Bethlehem/Easton, PA",1235,1250.0,15.0,29.0,1319.0,1334.0,6.0,1315,1340.0,25.0,0.0,,0.0,N,40.0,50.0,15.0,1.0,55.0,0.0,0.0,10.0,0.0,15.0,,,,
